tfbh,ident,name,ename,isCurrent,beginTime,endTime,land,time,lng,lat,strong,power,speed,moveDir,moveSpeed,pressure,r7,r10,r12,r7Quad,r10Quad,r12Quad,remark,forecast,is_current,begin_time,end_time,move_dir,move_speed,radius7,radius10,radius12,radius7_quad,radius10_quad,radius12_quad
198201,198201,-,Mamie,0.0,1982-03-14T14:00:00,1982-03-24T20:00:00,[],1982-03-14T14:00:00,152.0,7.0,,5,10,,,1003,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,
198201,198201,-,Mamie,0.0,1982-03-14T14:00:00,1982-03-24T20:00:00,[],1982-03-14T20:00:00,150.5,7.5,,5,10,,,1003,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,
198201,198201,-,Mamie,0.0,1982-03-14T14:00:00,1982-03-24T20:00:00,[],1982-03-15T02:00:00,149.0,7.5,,5,10,,,1003,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,
198201,198201,-,Mamie,0.0,1982-03-14T14:00:00,1982-03-24T20:00:00,[],1982-03-15T08:00:00,148.0,8.0,热带低压(TD),6,12,,,1003,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,
198201,198201,-,Mamie,0.0,1982-03-14T14:00:00,1982-03-24T20:00:00,[],1982-03-15T14:00:00,147.7,7.9,热带低压(TD),6,12,,,1002,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,
198201,198201,-,Mamie,0.0,1982-03-14T14:00:00,1982-03-24T20:00:00,[],1982-03-15T20:00:00,147.2,7.8,热带低压(TD),6,12,,,1002,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,
198201,198201,-,Mamie,0.0,1982-03-14T14:00:00,1982-03-24T20:00:00,[],1982-03-16T02:00:00,146.5,7.5,热带低压(TD),7,15,,,1000,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,
198201,198201,-,Mamie,0.0,1982-03-14T14:00:00,1982-03-24T20:00:00,[],1982-03-16T08:00:00,146.2,7.2,热带风暴(TS),8,20,,,995,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,
198201,198201,-,Mamie,0.0,1982-03-14T14:00:00,1982-03-24T20:00:00,[],1982-03-16T14:00:00,145.5,7.1,强热带风暴(STS),10,25,,,994,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,
198201,198201,-,Mamie,0.0,1982-03-14T14:00:00,1982-03-24T20:00:00,[],1982-03-16T20:00:00,144.5,7.2,强热带风暴(STS),10,25,,,994,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,
198201,198201,-,Mamie,0.0,1982-03-14T14:00:00,1982-03-24T20:00:00,[],1982-03-17T02:00:00,143.3,7.5,强热带风暴(STS),10,25,,,994,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,
