tfbh,name,ename,is_current,begin_time,end_time,land,time,lng,lat,strong,power,speed,move_dir,move_speed,pressure,radius7,radius10,radius12,radius7_quad,radius10_quad,radius12_quad,remark,forecast
197001,-,Nancy,0,1970-02-19T08:00:00,1970-02-28T08:00:00,[],1970-02-19T08:00:00,151.4,7.0,,5,10,,,1006,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
197001,-,Nancy,0,1970-02-19T08:00:00,1970-02-28T08:00:00,[],1970-02-19T14:00:00,151.0,7.5,,5,10,,,1002,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
197001,-,Nancy,0,1970-02-19T08:00:00,1970-02-28T08:00:00,[],1970-02-19T20:00:00,150.5,8.0,热带低压(TD),7,15,,,998,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
197001,-,Nancy,0,1970-02-19T08:00:00,1970-02-28T08:00:00,[],1970-02-20T02:00:00,149.8,8.4,热带风暴(TS),8,20,,,992,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
197001,-,Nancy,0,1970-02-19T08:00:00,1970-02-28T08:00:00,[],1970-02-20T08:00:00,148.9,8.6,强热带风暴(STS),11,30,,,986,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
197001,-,Nancy,0,1970-02-19T08:00:00,1970-02-28T08:00:00,[],1970-02-20T14:00:00,148.0,8.6,强热带风暴(STS),11,30,,,988,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
197001,-,Nancy,0,1970-02-19T08:00:00,1970-02-28T08:00:00,[],1970-02-20T20:00:00,147.5,8.6,强热带风暴(STS),10,25,,,992,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
197001,-,Nancy,0,1970-02-19T08:00:00,1970-02-28T08:00:00,[],1970-02-21T02:00:00,147.2,8.6,强热带风暴(STS),10,25,,,992,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
197001,-,Nancy,0,1970-02-19T08:00:00,1970-02-28T08:00:00,[],1970-02-21T08:00:00,146.5,8.6,强热带风暴(STS),10,25,,,990,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
197001,-,Nancy,0,1970-02-19T08:00:00,1970-02-28T08:00:00,[],1970-02-21T14:00:00,145.7,8.6,强热带风暴(STS),10,25,,,987,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
197001,-,Nancy,0,1970-02-19T08:00:00,1970-02-28T08:00:00,[],1970-02-21T20:00:00,144.8,8.5,强热带风暴(STS),11,30,,,984,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
