tfbh,name,ename,is_current,begin_time,end_time,land,time,lng,lat,strong,power,speed,move_dir,move_speed,pressure,radius7,radius10,remark,forecast
194501,-,-,0,1945-04-19T12:00:00,1945-04-26T12:00:00,[],1945-04-19T12:00:00,160.3,9.5,热带低压(TD),6,12,,,,,,,
194501,-,-,0,1945-04-19T12:00:00,1945-04-26T12:00:00,[],1945-04-19T18:00:00,159.9,9.6,热带低压(TD),7,15,,,,,,,
194501,-,-,0,1945-04-19T12:00:00,1945-04-26T12:00:00,[],1945-04-20T00:00:00,159.7,9.6,热带低压(TD),7,17,,,,,,,
194501,-,-,0,1945-04-19T12:00:00,1945-04-26T12:00:00,[],1945-04-20T06:00:00,159.3,9.7,热带风暴(TS),8,20,,,,,,,
194501,-,-,0,1945-04-19T12:00:00,1945-04-26T12:00:00,[],1945-04-20T12:00:00,158.8,9.8,热带风暴(TS),9,23,,,,,,,
194501,-,-,0,1945-04-19T12:00:00,1945-04-26T12:00:00,[],1945-04-20T18:00:00,158.3,9.8,热带风暴(TS),9,23,,,,,,,
194501,-,-,0,1945-04-19T12:00:00,1945-04-26T12:00:00,[],1945-04-21T00:00:00,157.9,9.8,强热带风暴(STS),10,25,,,,,,,
194501,-,-,0,1945-04-19T12:00:00,1945-04-26T12:00:00,[],1945-04-21T06:00:00,157.4,9.9,强热带风暴(STS),10,25,,,,,,,
194501,-,-,0,1945-04-19T12:00:00,1945-04-26T12:00:00,[],1945-04-21T12:00:00,157.0,10.0,强热带风暴(STS),10,25,,,,,,,
194501,-,-,0,1945-04-19T12:00:00,1945-04-26T12:00:00,[],1945-04-21T18:00:00,156.5,10.0,热带风暴(TS),8,20,,,,,,,
194501,-,-,0,1945-04-19T12:00:00,1945-04-26T12:00:00,[],1945-04-22T00:00:00,155.8,10.1,热带风暴(TS),8,20,,,,,,,
194501,-,-,0,1945-04-19T12:00:00,1945-04-26T12:00:00,[],1945-04-22T06:00:00,155.1,10.2,热带低压(TD),7,17,,,,,,,
194501,-,-,0,1945-04-19T12:00:00,1945-04-26T12:00:00,[],1945-04-22T12:00:00,154.5,10.2,热带低压(TD),7,17,,,,,,,
