tfbh,name,ename,is_current,begin_time,end_time,land,time,lng,lat,strong,power,speed,move_dir,move_speed,pressure,radius7,radius10,remark,forecast
199901,-,KATE,0,1999-04-22T02:00:00,1999-04-30T14:00:00,[],1999-04-22T02:00:00,126.0,9.0,,5,10,,,1004,,,,
199901,-,KATE,0,1999-04-22T02:00:00,1999-04-30T14:00:00,[],1999-04-22T08:00:00,126.0,10.0,,5,10,,,1004,,,,
199901,-,KATE,0,1999-04-22T02:00:00,1999-04-30T14:00:00,[],1999-04-22T14:00:00,125.5,11.5,热带低压(TD),6,12,,,1002,,,,
199901,-,KATE,0,1999-04-22T02:00:00,1999-04-30T14:00:00,[],1999-04-22T20:00:00,125.4,12.5,热带低压(TD),6,12,,,1002,,,,
199901,-,KATE,0,1999-04-22T02:00:00,1999-04-30T14:00:00,[],1999-04-23T02:00:00,125.8,13.6,热带低压(TD),6,12,,,1002,,,,
199901,-,KATE,0,1999-04-22T02:00:00,1999-04-30T14:00:00,[],1999-04-23T08:00:00,126.6,13.9,热带低压(TD),6,12,,,1000,,,,
199901,-,KATE,0,1999-04-22T02:00:00,1999-04-30T14:00:00,[],1999-04-23T14:00:00,126.8,14.1,热带低压(TD),6,12,,,1000,,,,
199901,-,KATE,0,1999-04-22T02:00:00,1999-04-30T14:00:00,[],1999-04-23T20:00:00,127.2,14.2,热带低压(TD),7,15,,,998,,,,
199901,-,KATE,0,1999-04-22T02:00:00,1999-04-30T14:00:00,[],1999-04-24T02:00:00,127.8,14.3,热带风暴(TS),8,18,,,998,,,,
199901,-,KATE,0,1999-04-22T02:00:00,1999-04-30T14:00:00,[],1999-04-24T08:00:00,128.7,14.7,热带风暴(TS),8,20,,,995,,,,
199901,-,KATE,0,1999-04-22T02:00:00,1999-04-30T14:00:00,[],1999-04-24T14:00:00,129.2,15.0,热带风暴(TS),9,23,,,992,,,,
199901,-,KATE,0,1999-04-22T02:00:00,1999-04-30T14:00:00,[],1999-04-24T20:00:00,130.0,15.4,热带风暴(TS),9,23,,,990,,,,
199901,-,KATE,0,1999-04-22T02:00:00,1999-04-30T14:00:00,[],1999-04-25T02:00:00,130.5,16.0,热带风暴(TS),9,23,,,990,,,,
199901,-,KATE,0,1999-04-22T02:00:00,1999-04-30T14:00:00,[],1999-04-25T08:00:00,130.8,16.5,热带风暴(TS),9,23,,,990,,,,
199901,-,KATE,0,1999-04-22T02:00:00,1999-04-30T14:00:00,[],1999-04-25T14:00:00,131.3,17.4,强热带风暴(STS),10,25,,,985,,,,
