tfbh,name,ename,is_current,begin_time,end_time,land,time,lng,lat,strong,power,speed,move_dir,move_speed,pressure,radius7,radius10,radius12,radius7_quad,radius10_quad,radius12_quad,remark,forecast,ident,isCurrent,beginTime,endTime,moveDir,moveSpeed,r7,r10,r12,r7Quad,r10Quad,r12Quad
198301,-,Sarah,0.0,1983-06-23T08:00:00,1983-06-26T14:00:00,[],1983-06-23T08:00:00,117.0,14.0,,5,10,,,1004,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
198301,-,Sarah,0.0,1983-06-23T08:00:00,1983-06-26T14:00:00,[],1983-06-23T14:00:00,117.0,13.0,,5,10,,,1004,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
198301,-,Sarah,0.0,1983-06-23T08:00:00,1983-06-26T14:00:00,[],1983-06-23T20:00:00,116.5,11.5,热带低压(TD),6,12,,,1004,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
198301,-,Sarah,0.0,1983-06-23T08:00:00,1983-06-26T14:00:00,[],1983-06-24T02:00:00,115.0,11.5,热带低压(TD),6,12,,,1003,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
198301,-,Sarah,0.0,1983-06-23T08:00:00,1983-06-26T14:00:00,[],1983-06-24T08:00:00,114.0,12.5,热带低压(TD),6,12,,,1003,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
198301,-,Sarah,0.0,1983-06-23T08:00:00,1983-06-26T14:00:00,[],1983-06-24T14:00:00,113.0,13.0,热带低压(TD),7,15,,,1000,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
198301,-,Sarah,0.0,1983-06-23T08:00:00,1983-06-26T14:00:00,[],1983-06-24T20:00:00,112.0,13.5,热带低压(TD),7,15,,,1000,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
198301,-,Sarah,0.0,1983-06-23T08:00:00,1983-06-26T14:00:00,[],1983-06-25T02:00:00,111.3,14.2,热带低压(TD),7,15,,,1000,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
198301,-,Sarah,0.0,1983-06-23T08:00:00,1983-06-26T14:00:00,[],1983-06-25T08:00:00,110.5,15.1,热带低压(TD),7,15,,,998,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
198301,-,Sarah,0.0,1983-06-23T08:00:00,1983-06-26T14:00:00,[],1983-06-25T14:00:00,109.8,15.7,热带风暴(TS),8,20,,,998,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
198301,-,Sarah,0.0,1983-06-23T08:00:00,1983-06-26T14:00:00,[],1983-06-25T20:00:00,108.9,16.2,热带风暴(TS),8,20,,,998,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
198301,-,Sarah,0.0,1983-06-23T08:00:00,1983-06-26T14:00:00,[],1983-06-26T02:00:00,107.3,17.7,热带风暴(TS),8,20,,,998,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
198301,-,Sarah,0.0,1983-06-23T08:00:00,1983-06-26T14:00:00,[],1983-06-26T08:00:00,106.3,18.0,热带低压(TD),7,15,,,1000,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
198301,-,Sarah,0.0,1983-06-23T08:00:00,1983-06-26T14:00:00,[],1983-06-26T14:00:00,105.0,18.5,热带低压(TD),6,12,,,1000,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
