tfbh,name,ename,is_current,begin_time,end_time,land,time,lng,lat,strong,power,speed,move_dir,move_speed,pressure,radius7,radius10,remark,forecast,ident,isCurrent,beginTime,endTime,moveDir,moveSpeed,r7,r10,r12,r7Quad,r10Quad,r12Quad
200101,西马仑,CIMARON,0.0,2001-05-09T20:00:00,2001-05-15T20:00:00,[],2001-05-09T20:00:00,120.0,11.8,热带低压(TD),6,12,,,1004,,,,,,,,,,,,,,,,
200101,西马仑,CIMARON,0.0,2001-05-09T20:00:00,2001-05-15T20:00:00,[],2001-05-10T02:00:00,119.6,12.3,热带低压(TD),6,12,,,1004,,,,,,,,,,,,,,,,
200101,西马仑,CIMARON,0.0,2001-05-09T20:00:00,2001-05-15T20:00:00,[],2001-05-10T08:00:00,119.5,13.1,热带低压(TD),6,12,,,1004,,,,,,,,,,,,,,,,
200101,西马仑,CIMARON,0.0,2001-05-09T20:00:00,2001-05-15T20:00:00,[],2001-05-10T14:00:00,119.3,14.1,热带低压(TD),7,15,,,1002,,,,,,,,,,,,,,,,
200101,西马仑,CIMARON,0.0,2001-05-09T20:00:00,2001-05-15T20:00:00,[],2001-05-10T20:00:00,119.1,15.3,热带低压(TD),7,15,,,1002,,,,,,,,,,,,,,,,
200101,西马仑,CIMARON,0.0,2001-05-09T20:00:00,2001-05-15T20:00:00,[],2001-05-11T02:00:00,119.1,16.2,热带低压(TD),7,15,,,1002,,,,,,,,,,,,,,,,
200101,西马仑,CIMARON,0.0,2001-05-09T20:00:00,2001-05-15T20:00:00,[],2001-05-11T08:00:00,119.1,17.1,热带低压(TD),7,15,,,1000,,,,,,,,,,,,,,,,
200101,西马仑,CIMARON,0.0,2001-05-09T20:00:00,2001-05-15T20:00:00,[],2001-05-11T14:00:00,119.1,17.6,热带风暴(TS),8,18,,,998,,,,,,,,,,,,,,,,
200101,西马仑,CIMARON,0.0,2001-05-09T20:00:00,2001-05-15T20:00:00,[],2001-05-11T20:00:00,119.2,18.1,热带风暴(TS),8,18,,,998,,,,,,,,,,,,,,,,
200101,西马仑,CIMARON,0.0,2001-05-09T20:00:00,2001-05-15T20:00:00,[],2001-05-12T02:00:00,119.5,18.5,热带风暴(TS),8,20,,,995,,,,,,,,,,,,,,,,
200101,西马仑,CIMARON,0.0,2001-05-09T20:00:00,2001-05-15T20:00:00,[],2001-05-12T08:00:00,119.9,18.9,热带风暴(TS),9,23,,,990,,,,,,,,,,,,,,,,
200101,西马仑,CIMARON,0.0,2001-05-09T20:00:00,2001-05-15T20:00:00,[],2001-05-12T14:00:00,120.4,19.5,热带风暴(TS),9,23,,,990,,,,,,,,,,,,,,,,
200101,西马仑,CIMARON,0.0,2001-05-09T20:00:00,2001-05-15T20:00:00,[],2001-05-12T20:00:00,121.0,20.0,热带风暴(TS),9,23,,,990,,,,,,,,,,,,,,,,
200101,西马仑,CIMARON,0.0,2001-05-09T20:00:00,2001-05-15T20:00:00,[],2001-05-13T02:00:00,121.2,20.5,热带风暴(TS),9,23,,,990,,,,,,,,,,,,,,,,
200101,西马仑,CIMARON,0.0,2001-05-09T20:00:00,2001-05-15T20:00:00,[],2001-05-13T08:00:00,121.7,21.1,热带风暴(TS),9,23,,,990,,,,,,,,,,,,,,,,
200101,西马仑,CIMARON,0.0,2001-05-09T20:00:00,2001-05-15T20:00:00,[],2001-05-13T14:00:00,122.7,22.1,强热带风暴(STS),10,25,,,985,,,,,,,,,,,,,,,,
200101,西马仑,CIMARON,0.0,2001-05-09T20:00:00,2001-05-15T20:00:00,[],2001-05-13T20:00:00,123.6,23.1,强热带风暴(STS),10,25,,,985,,,,,,,,,,,,,,,,
200101,西马仑,CIMARON,0.0,2001-05-09T20:00:00,2001-05-15T20:00:00,[],2001-05-14T02:00:00,125.1,24.3,强热带风暴(STS),10,25,,,985,,,,,,,,,,,,,,,,
200101,西马仑,CIMARON,0.0,2001-05-09T20:00:00,2001-05-15T20:00:00,[],2001-05-14T08:00:00,126.5,25.6,强热带风暴(STS),10,25,,,985,,,,,,,,,,,,,,,,
