tfbh,name,ename,is_current,begin_time,end_time,land,time,lng,lat,strong,power,speed,move_dir,move_speed,pressure,radius7,radius10,radius12,radius7_quad,radius10_quad,radius12_quad,remark,forecast,ident,isCurrent,beginTime,endTime,moveDir,moveSpeed,r7,r10,r12,r7Quad,r10Quad,r12Quad
197101,-,Vera,0.0,1971-04-07T08:00:00,1971-04-21T20:00:00,[],1971-04-07T08:00:00,147.3,8.9,,5,10,,,1004,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
197101,-,Vera,0.0,1971-04-07T08:00:00,1971-04-21T20:00:00,[],1971-04-07T14:00:00,146.5,9.4,,5,10,,,1004,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
197101,-,Vera,0.0,1971-04-07T08:00:00,1971-04-21T20:00:00,[],1971-04-07T20:00:00,145.6,9.7,,5,10,,,1002,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
197101,-,Vera,0.0,1971-04-07T08:00:00,1971-04-21T20:00:00,[],1971-04-08T02:00:00,144.9,9.9,,5,10,,,1002,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
197101,-,Vera,0.0,1971-04-07T08:00:00,1971-04-21T20:00:00,[],1971-04-08T08:00:00,144.0,10.0,,5,10,,,1002,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
197101,-,Vera,0.0,1971-04-07T08:00:00,1971-04-21T20:00:00,[],1971-04-08T14:00:00,143.0,10.1,,5,10,,,1002,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
197101,-,Vera,0.0,1971-04-07T08:00:00,1971-04-21T20:00:00,[],1971-04-08T20:00:00,141.9,10.0,,5,10,,,1002,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
197101,-,Vera,0.0,1971-04-07T08:00:00,1971-04-21T20:00:00,[],1971-04-09T02:00:00,140.9,10.1,,5,10,,,1001,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
197101,-,Vera,0.0,1971-04-07T08:00:00,1971-04-21T20:00:00,[],1971-04-09T08:00:00,140.1,10.3,热带低压(TD),6,12,,,1000,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
197101,-,Vera,0.0,1971-04-07T08:00:00,1971-04-21T20:00:00,[],1971-04-09T14:00:00,139.4,10.7,热带低压(TD),6,12,,,1000,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
197101,-,Vera,0.0,1971-04-07T08:00:00,1971-04-21T20:00:00,[],1971-04-09T20:00:00,139.1,11.3,热带低压(TD),7,15,,,1000,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
197101,-,Vera,0.0,1971-04-07T08:00:00,1971-04-21T20:00:00,[],1971-04-10T02:00:00,138.7,11.7,热带低压(TD),7,15,,,1000,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
197101,-,Vera,0.0,1971-04-07T08:00:00,1971-04-21T20:00:00,[],1971-04-10T08:00:00,138.2,11.9,热带低压(TD),7,15,,,998,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
197101,-,Vera,0.0,1971-04-07T08:00:00,1971-04-21T20:00:00,[],1971-04-10T14:00:00,137.8,12.1,热带低压(TD),7,15,,,997,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
197101,-,Vera,0.0,1971-04-07T08:00:00,1971-04-21T20:00:00,[],1971-04-10T20:00:00,137.3,12.3,热带低压(TD),7,15,,,997,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
197101,-,Vera,0.0,1971-04-07T08:00:00,1971-04-21T20:00:00,[],1971-04-11T02:00:00,136.8,12.4,热带低压(TD),7,15,,,997,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
197101,-,Vera,0.0,1971-04-07T08:00:00,1971-04-21T20:00:00,[],1971-04-11T08:00:00,136.4,12.5,热带低压(TD),7,15,,,997,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
197101,-,Vera,0.0,1971-04-07T08:00:00,1971-04-21T20:00:00,[],1971-04-11T14:00:00,135.9,12.6,热带风暴(TS),8,20,,,996,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
197101,-,Vera,0.0,1971-04-07T08:00:00,1971-04-21T20:00:00,[],1971-04-11T20:00:00,135.4,12.7,热带风暴(TS),8,20,,,996,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
197101,-,Vera,0.0,1971-04-07T08:00:00,1971-04-21T20:00:00,[],1971-04-12T02:00:00,134.9,12.8,热带风暴(TS),8,20,,,996,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
197101,-,Vera,0.0,1971-04-07T08:00:00,1971-04-21T20:00:00,[],1971-04-12T08:00:00,134.3,12.9,热带风暴(TS),8,20,,,992,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
197101,-,Vera,0.0,1971-04-07T08:00:00,1971-04-21T20:00:00,[],1971-04-12T14:00:00,133.6,13.1,热带风暴(TS),8,20,,,992,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
197101,-,Vera,0.0,1971-04-07T08:00:00,1971-04-21T20:00:00,[],1971-04-12T20:00:00,132.9,13.6,热带风暴(TS),8,20,,,986,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
197101,-,Vera,0.0,1971-04-07T08:00:00,1971-04-21T20:00:00,[],1971-04-13T02:00:00,132.1,13.9,强热带风暴(STS),10,25,,,986,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
197101,-,Vera,0.0,1971-04-07T08:00:00,1971-04-21T20:00:00,[],1971-04-13T08:00:00,131.4,14.4,强热带风暴(STS),10,25,,,982,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
197101,-,Vera,0.0,1971-04-07T08:00:00,1971-04-21T20:00:00,[],1971-04-13T14:00:00,131.0,14.9,强热带风暴(STS),10,25,,,982,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
197101,-,Vera,0.0,1971-04-07T08:00:00,1971-04-21T20:00:00,[],1971-04-13T20:00:00,130.4,15.7,强热带风暴(STS),10,25,,,980,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
