tfbh,name,ename,is_current,begin_time,end_time,land,time,lng,lat,strong,power,speed,move_dir,move_speed,pressure,radius7,radius10,radius12,radius7_quad,radius10_quad,radius12_quad,remark,forecast
195301,-,-,0,1953-02-20T14:00:00,1953-02-26T08:00:00,[],1953-02-20T14:00:00,153.2,8.3,热带风暴(TS),8,20,,,1000,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
195301,-,-,0,1953-02-20T14:00:00,1953-02-26T08:00:00,[],1953-02-20T20:00:00,151.9,9.3,热带风暴(TS),8,20,,,1000,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
195301,-,-,0,1953-02-20T14:00:00,1953-02-26T08:00:00,[],1953-02-21T02:00:00,150.3,9.9,热带风暴(TS),8,20,,,1000,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
195301,-,-,0,1953-02-20T14:00:00,1953-02-26T08:00:00,[],1953-02-21T08:00:00,148.5,10.3,强热带风暴(STS),11,30,,,990,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
195301,-,-,0,1953-02-20T14:00:00,1953-02-26T08:00:00,[],1953-02-21T14:00:00,146.7,10.5,台风(TY),12,35,,,980,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
195301,-,-,0,1953-02-20T14:00:00,1953-02-26T08:00:00,[],1953-02-21T20:00:00,145.5,11.2,台风(TY),13,40,,,980,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
195301,-,-,0,1953-02-20T14:00:00,1953-02-26T08:00:00,[],1953-02-22T02:00:00,144.5,12.2,台风(TY),13,40,,,980,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
195301,-,-,0,1953-02-20T14:00:00,1953-02-26T08:00:00,[],1953-02-22T08:00:00,143.5,12.8,台风(TY),13,40,,,980,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
195301,-,-,0,1953-02-20T14:00:00,1953-02-26T08:00:00,[],1953-02-22T14:00:00,142.4,13.3,台风(TY),13,40,,,980,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
195301,-,-,0,1953-02-20T14:00:00,1953-02-26T08:00:00,[],1953-02-22T20:00:00,141.4,13.6,台风(TY),13,40,,,980,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
195301,-,-,0,1953-02-20T14:00:00,1953-02-26T08:00:00,[],1953-02-23T02:00:00,140.4,13.8,台风(TY),13,40,,,980,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
195301,-,-,0,1953-02-20T14:00:00,1953-02-26T08:00:00,[],1953-02-23T08:00:00,139.4,14.1,强台风(STY),15,50,,,975,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
195301,-,-,0,1953-02-20T14:00:00,1953-02-26T08:00:00,[],1953-02-23T14:00:00,138.3,14.2,强台风(STY),15,50,,,975,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
195301,-,-,0,1953-02-20T14:00:00,1953-02-26T08:00:00,[],1953-02-23T20:00:00,136.9,14.2,强台风(STY),14,45,,,980,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
195301,-,-,0,1953-02-20T14:00:00,1953-02-26T08:00:00,[],1953-02-24T02:00:00,135.8,14.1,台风(TY),12,35,,,990,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
