tfbh,name,ename,is_current,begin_time,end_time,land,time,lng,lat,strong,power,speed,move_dir,move_speed,pressure,radius7,radius10,radius12,radius7_quad,radius10_quad,radius12_quad,remark,forecast
195601,-,-,0,1956-01-18T08:00:00,1956-01-20T14:00:00,[],1956-01-18T08:00:00,115.4,12.5,热带低压(TD),6,12,,,1004,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
195601,-,-,0,1956-01-18T08:00:00,1956-01-20T14:00:00,[],1956-01-18T14:00:00,116.0,13.5,热带低压(TD),6,12,,,1004,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
195601,-,-,0,1956-01-18T08:00:00,1956-01-20T14:00:00,[],1956-01-18T20:00:00,116.6,14.4,热带低压(TD),6,12,,,1002,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
195601,-,-,0,1956-01-18T08:00:00,1956-01-20T14:00:00,[],1956-01-19T02:00:00,116.9,15.2,热带低压(TD),7,15,,,1002,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
195601,-,-,0,1956-01-18T08:00:00,1956-01-20T14:00:00,[],1956-01-19T08:00:00,116.9,16.2,热带低压(TD),7,15,,,1002,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
195601,-,-,0,1956-01-18T08:00:00,1956-01-20T14:00:00,[],1956-01-19T14:00:00,117.3,17.3,热带低压(TD),7,15,,,1002,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
195601,-,-,0,1956-01-18T08:00:00,1956-01-20T14:00:00,[],1956-01-19T20:00:00,117.8,17.7,热带低压(TD),6,12,,,1004,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
195601,-,-,0,1956-01-18T08:00:00,1956-01-20T14:00:00,[],1956-01-20T02:00:00,118.6,18.0,热带低压(TD),6,12,,,1006,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
195601,-,-,0,1956-01-18T08:00:00,1956-01-20T14:00:00,[],1956-01-20T08:00:00,119.5,18.3,热带低压(TD),6,12,,,1006,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
195601,-,-,0,1956-01-18T08:00:00,1956-01-20T14:00:00,[],1956-01-20T14:00:00,120.5,18.5,,5,10,,,1008,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
195602,-,-,0,1956-03-23T14:00:00,1956-04-04T02:00:00,[],1956-03-23T14:00:00,150.3,2.4,强热带风暴(STS),10,25,,,998,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
