tfbh,ident,name,ename,isCurrent,beginTime,endTime,land,time,lng,lat,strong,power,speed,moveDir,moveSpeed,pressure,r7,r10,r12,r7Quad,r10Quad,r12Quad,remark,forecast,is_current,begin_time,end_time,move_dir,move_speed,radius7,radius10
200501,200501,玫瑰,Kulap,0.0,2005-01-14T08:00:00,2005-01-19T20:00:00,[],2005-01-14T08:00:00,150.2,6.0,热带低压(TD),7.0,15.0,,,1004.0,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,
200501,200501,玫瑰,Kulap,0.0,2005-01-14T08:00:00,2005-01-19T20:00:00,[],2005-01-14T14:00:00,148.0,5.7,热带低压(TD),7.0,15.0,,,1002.0,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,
200501,200501,玫瑰,Kulap,0.0,2005-01-14T08:00:00,2005-01-19T20:00:00,[],2005-01-14T20:00:00,147.4,6.0,热带低压(TD),7.0,15.0,,,1000.0,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,
200501,200501,玫瑰,Kulap,0.0,2005-01-14T08:00:00,2005-01-19T20:00:00,[],2005-01-15T02:00:00,147.1,6.8,热带低压(TD),7.0,15.0,,,1000.0,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,
200501,200501,玫瑰,Kulap,0.0,2005-01-14T08:00:00,2005-01-19T20:00:00,[],2005-01-15T08:00:00,146.3,7.5,热带低压(TD),7.0,15.0,,,1000.0,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,
200501,200501,玫瑰,Kulap,0.0,2005-01-14T08:00:00,2005-01-19T20:00:00,[],2005-01-15T14:00:00,147.4,8.1,热带低压(TD),7.0,15.0,,,998.0,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,
200501,200501,玫瑰,Kulap,0.0,2005-01-14T08:00:00,2005-01-19T20:00:00,[],2005-01-15T20:00:00,147.4,9.5,热带风暴(TS),8.0,18.0,,,995.0,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,
200501,200501,玫瑰,Kulap,0.0,2005-01-14T08:00:00,2005-01-19T20:00:00,[],2005-01-16T02:00:00,146.9,10.4,热带风暴(TS),8.0,20.0,,,992.0,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,
200501,200501,玫瑰,Kulap,0.0,2005-01-14T08:00:00,2005-01-19T20:00:00,[],2005-01-16T08:00:00,146.6,11.5,热带风暴(TS),8.0,20.0,,,992.0,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,
200501,200501,玫瑰,Kulap,0.0,2005-01-14T08:00:00,2005-01-19T20:00:00,[],2005-01-16T14:00:00,146.2,12.5,热带风暴(TS),9.0,23.0,,,990.0,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,
200501,200501,玫瑰,Kulap,0.0,2005-01-14T08:00:00,2005-01-19T20:00:00,[],2005-01-16T20:00:00,145.9,13.1,热带风暴(TS),9.0,23.0,,,990.0,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,
