tfbh,name,ename,is_current,begin_time,end_time,land,time,lng,lat,strong,power,speed,move_dir,move_speed,pressure,radius7,radius10,remark,forecast
201101,艾利,AERE,0,2011-05-07T14:00:00,2011-05-11T20:00:00,[],2011-05-07T14:00:00,126.0,13.1,热带风暴(TS),8,18,西北,12.0,998,180.0,,,
201101,艾利,AERE,0,2011-05-07T14:00:00,2011-05-11T20:00:00,[],2011-05-07T17:00:00,126.0,13.1,热带风暴(TS),8,18,西北,13.0,998,180.0,,,
201101,艾利,AERE,0,2011-05-07T14:00:00,2011-05-11T20:00:00,[],2011-05-07T20:00:00,125.1,12.8,热带风暴(TS),9,23,西北西,15.0,990,180.0,,,
201101,艾利,AERE,0,2011-05-07T14:00:00,2011-05-11T20:00:00,[],2011-05-07T23:00:00,124.9,13.0,热带风暴(TS),9,23,西北西,15.0,990,180.0,,,
201101,艾利,AERE,0,2011-05-07T14:00:00,2011-05-11T20:00:00,[],2011-05-08T02:00:00,124.6,13.1,热带风暴(TS),9,23,西北西,15.0,990,180.0,,,
201101,艾利,AERE,0,2011-05-07T14:00:00,2011-05-11T20:00:00,[],2011-05-08T05:00:00,124.4,13.3,热带风暴(TS),9,23,西北西,15.0,990,180.0,,,
201101,艾利,AERE,0,2011-05-07T14:00:00,2011-05-11T20:00:00,[],2011-05-08T08:00:00,124.1,13.6,热带风暴(TS),9,23,西北,20.0,990,180.0,,,
201101,艾利,AERE,0,2011-05-07T14:00:00,2011-05-11T20:00:00,[],2011-05-08T11:00:00,124.0,13.9,热带风暴(TS),9,23,西北,20.0,990,180.0,,,
201101,艾利,AERE,0,2011-05-07T14:00:00,2011-05-11T20:00:00,[],2011-05-08T14:00:00,123.6,14.4,强热带风暴(STS),10,25,西北,20.0,988,200.0,20.0,,
201101,艾利,AERE,0,2011-05-07T14:00:00,2011-05-11T20:00:00,[],2011-05-08T17:00:00,123.1,15.0,强热带风暴(STS),10,25,北西北,20.0,988,200.0,20.0,,
201101,艾利,AERE,0,2011-05-07T14:00:00,2011-05-11T20:00:00,[],2011-05-08T20:00:00,123.0,15.0,强热带风暴(STS),10,25,北西北,15.0,988,200.0,20.0,,
201101,艾利,AERE,0,2011-05-07T14:00:00,2011-05-11T20:00:00,[],2011-05-08T23:00:00,122.9,15.1,强热带风暴(STS),10,25,北西北,15.0,988,200.0,20.0,,
201101,艾利,AERE,0,2011-05-07T14:00:00,2011-05-11T20:00:00,[],2011-05-09T02:00:00,122.8,15.3,热带风暴(TS),9,23,北西北,20.0,990,180.0,,,
201101,艾利,AERE,0,2011-05-07T14:00:00,2011-05-11T20:00:00,[],2011-05-09T05:00:00,122.6,15.7,热带风暴(TS),9,23,北西北,20.0,990,180.0,,,
201101,艾利,AERE,0,2011-05-07T14:00:00,2011-05-11T20:00:00,[],2011-05-09T08:00:00,122.5,16.4,热带风暴(TS),9,23,北西北,20.0,990,180.0,,,
201101,艾利,AERE,0,2011-05-07T14:00:00,2011-05-11T20:00:00,[],2011-05-09T11:00:00,122.2,16.9,热带风暴(TS),9,23,北西北,20.0,990,180.0,,,
201101,艾利,AERE,0,2011-05-07T14:00:00,2011-05-11T20:00:00,[],2011-05-09T14:00:00,122.2,17.2,热带风暴(TS),8,20,北,15.0,995,160.0,,,
201101,艾利,AERE,0,2011-05-07T14:00:00,2011-05-11T20:00:00,[],2011-05-09T17:00:00,122.2,17.7,热带风暴(TS),8,18,北,15.0,996,150.0,,,
201101,艾利,AERE,0,2011-05-07T14:00:00,2011-05-11T20:00:00,[],2011-05-09T20:00:00,122.2,18.0,热带风暴(TS),8,18,北,15.0,996,150.0,,,
201101,艾利,AERE,0,2011-05-07T14:00:00,2011-05-11T20:00:00,[],2011-05-09T23:00:00,122.3,18.4,热带风暴(TS),8,18,北北东,20.0,998,150.0,,,
201101,艾利,AERE,0,2011-05-07T14:00:00,2011-05-11T20:00:00,[],2011-05-10T02:00:00,122.5,19.0,热带风暴(TS),8,18,北北东,20.0,998,150.0,,,
201101,艾利,AERE,0,2011-05-07T14:00:00,2011-05-11T20:00:00,[],2011-05-10T05:00:00,122.8,19.8,热带风暴(TS),8,18,北北东,25.0,998,150.0,,,
201101,艾利,AERE,0,2011-05-07T14:00:00,2011-05-11T20:00:00,[],2011-05-10T08:00:00,122.8,20.3,热带风暴(TS),8,18,北北东,25.0,998,150.0,,,
201101,艾利,AERE,0,2011-05-07T14:00:00,2011-05-11T20:00:00,[],2011-05-10T09:00:00,122.7,20.3,热带风暴(TS),8,18,北,15.0,998,150.0,,,
201101,艾利,AERE,0,2011-05-07T14:00:00,2011-05-11T20:00:00,[],2011-05-10T10:00:00,122.7,20.4,热带风暴(TS),8,18,北,20.0,998,150.0,,,
201101,艾利,AERE,0,2011-05-07T14:00:00,2011-05-11T20:00:00,[],2011-05-10T11:00:00,122.7,20.6,热带风暴(TS),8,18,北北东,20.0,998,150.0,,,
201101,艾利,AERE,0,2011-05-07T14:00:00,2011-05-11T20:00:00,[],2011-05-10T12:00:00,122.8,20.7,热带风暴(TS),8,18,北北东,20.0,998,150.0,,,
201101,艾利,AERE,0,2011-05-07T14:00:00,2011-05-11T20:00:00,[],2011-05-10T13:00:00,122.8,20.8,热带风暴(TS),8,18,北北东,15.0,998,150.0,,,
201101,艾利,AERE,0,2011-05-07T14:00:00,2011-05-11T20:00:00,[],2011-05-10T14:00:00,122.9,21.1,热带风暴(TS),8,18,北北东,25.0,998,150.0,,,
201101,艾利,AERE,0,2011-05-07T14:00:00,2011-05-11T20:00:00,[],2011-05-10T15:00:00,123.0,21.3,热带风暴(TS),8,18,北北东,25.0,998,150.0,,,
201101,艾利,AERE,0,2011-05-07T14:00:00,2011-05-11T20:00:00,[],2011-05-10T16:00:00,123.2,21.4,热带风暴(TS),8,18,东北,25.0,998,150.0,,,
201101,艾利,AERE,0,2011-05-07T14:00:00,2011-05-11T20:00:00,[],2011-05-10T17:00:00,123.2,21.7,热带风暴(TS),8,18,北北东,25.0,998,150.0,,,
201101,艾利,AERE,0,2011-05-07T14:00:00,2011-05-11T20:00:00,[],2011-05-10T18:00:00,123.2,21.8,热带风暴(TS),8,18,北,20.0,998,150.0,,,
201101,艾利,AERE,0,2011-05-07T14:00:00,2011-05-11T20:00:00,[],2011-05-10T19:00:00,123.5,21.9,热带风暴(TS),8,18,北北东,25.0,998,150.0,,,
201101,艾利,AERE,0,2011-05-07T14:00:00,2011-05-11T20:00:00,[],2011-05-10T20:00:00,123.8,22.1,热带风暴(TS),8,18,北北东,25.0,998,150.0,,,
201101,艾利,AERE,0,2011-05-07T14:00:00,2011-05-11T20:00:00,[],2011-05-10T21:00:00,124.0,22.3,热带风暴(TS),8,18,北北东,25.0,998,150.0,,,
201101,艾利,AERE,0,2011-05-07T14:00:00,2011-05-11T20:00:00,[],2011-05-10T22:00:00,124.1,22.4,热带风暴(TS),8,18,北北东,25.0,998,150.0,,,
201101,艾利,AERE,0,2011-05-07T14:00:00,2011-05-11T20:00:00,[],2011-05-10T23:00:00,124.1,22.5,热带风暴(TS),8,18,北北东,25.0,998,150.0,,,
201101,艾利,AERE,0,2011-05-07T14:00:00,2011-05-11T20:00:00,[],2011-05-11T00:00:00,124.1,22.7,热带风暴(TS),8,18,北北东,20.0,998,150.0,,,
