tfbh,name,ename,is_current,begin_time,end_time,land,time,lng,lat,strong,power,speed,move_dir,move_speed,pressure,radius7,radius10,radius12,radius7_quad,radius10_quad,radius12_quad,remark,forecast
196901,-,Tess,0,1969-07-06T08:00:00,1969-07-11T20:00:00,[],1969-07-06T08:00:00,130.7,9.4,,0,0,,,1010,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
196901,-,Tess,0,1969-07-06T08:00:00,1969-07-11T20:00:00,[],1969-07-06T14:00:00,129.9,9.8,,0,0,,,1008,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
196901,-,Tess,0,1969-07-06T08:00:00,1969-07-11T20:00:00,[],1969-07-06T20:00:00,129.0,10.0,,0,0,,,1008,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
196901,-,Tess,0,1969-07-06T08:00:00,1969-07-11T20:00:00,[],1969-07-07T02:00:00,128.0,10.1,,0,0,,,1007,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
196901,-,Tess,0,1969-07-06T08:00:00,1969-07-11T20:00:00,[],1969-07-07T08:00:00,127.0,10.2,热带低压(TD),7,15,,,1007,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
196901,-,Tess,0,1969-07-06T08:00:00,1969-07-11T20:00:00,[],1969-07-07T14:00:00,125.8,10.2,热带低压(TD),7,15,,,1007,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
196901,-,Tess,0,1969-07-06T08:00:00,1969-07-11T20:00:00,[],1969-07-07T20:00:00,124.7,10.7,,5,10,,,1007,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
196901,-,Tess,0,1969-07-06T08:00:00,1969-07-11T20:00:00,[],1969-07-08T02:00:00,123.9,11.4,,5,10,,,1007,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
196901,-,Tess,0,1969-07-06T08:00:00,1969-07-11T20:00:00,[],1969-07-08T08:00:00,123.0,11.6,,5,10,,,1006,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
196901,-,Tess,0,1969-07-06T08:00:00,1969-07-11T20:00:00,[],1969-07-08T14:00:00,122.0,11.8,热带低压(TD),7,15,,,1006,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
196901,-,Tess,0,1969-07-06T08:00:00,1969-07-11T20:00:00,[],1969-07-08T20:00:00,121.0,11.9,热带低压(TD),7,15,,,1006,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
196901,-,Tess,0,1969-07-06T08:00:00,1969-07-11T20:00:00,[],1969-07-09T02:00:00,120.0,12.0,热带风暴(TS),8,20,,,1000,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
196901,-,Tess,0,1969-07-06T08:00:00,1969-07-11T20:00:00,[],1969-07-09T08:00:00,119.3,12.6,热带风暴(TS),8,20,,,997,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
196901,-,Tess,0,1969-07-06T08:00:00,1969-07-11T20:00:00,[],1969-07-09T14:00:00,118.5,13.3,强热带风暴(STS),10,25,,,985,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
196901,-,Tess,0,1969-07-06T08:00:00,1969-07-11T20:00:00,[],1969-07-09T20:00:00,116.9,13.8,强热带风暴(STS),11,30,,,982,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
196901,-,Tess,0,1969-07-06T08:00:00,1969-07-11T20:00:00,[],1969-07-10T02:00:00,115.5,14.4,台风(TY),12,35,,,972,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
196901,-,Tess,0,1969-07-06T08:00:00,1969-07-11T20:00:00,[],1969-07-10T08:00:00,113.8,14.5,台风(TY),13,40,,,969,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
196901,-,Tess,0,1969-07-06T08:00:00,1969-07-11T20:00:00,[],1969-07-10T14:00:00,112.6,14.7,台风(TY),12,35,,,974,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
196901,-,Tess,0,1969-07-06T08:00:00,1969-07-11T20:00:00,[],1969-07-10T20:00:00,111.5,15.3,台风(TY),12,35,,,975,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
196901,-,Tess,0,1969-07-06T08:00:00,1969-07-11T20:00:00,[],1969-07-11T02:00:00,110.4,15.9,强热带风暴(STS),11,30,,,988,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
196901,-,Tess,0,1969-07-06T08:00:00,1969-07-11T20:00:00,[],1969-07-11T08:00:00,109.1,16.5,强热带风暴(STS),11,30,,,990,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
196901,-,Tess,0,1969-07-06T08:00:00,1969-07-11T20:00:00,[],1969-07-11T14:00:00,108.2,16.8,强热带风暴(STS),10,25,,,992,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
196901,-,Tess,0,1969-07-06T08:00:00,1969-07-11T20:00:00,[],1969-07-11T20:00:00,107.1,16.9,热带低压(TD),7,15,,,996,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
196902,-,-,0,1969-07-21T20:00:00,1969-07-25T14:00:00,"[{'position': '海南省.万宁市.南桥镇', 'land_time': '1969/7/23 14:00:00', 'lng': 110.236357, 'lat': 18.64115}]",1969-07-21T20:00:00,117.1,13.5,,0,0,,,1002,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
196902,-,-,0,1969-07-21T20:00:00,1969-07-25T14:00:00,"[{'position': '海南省.万宁市.南桥镇', 'land_time': '1969/7/23 14:00:00', 'lng': 110.236357, 'lat': 18.64115}]",1969-07-22T02:00:00,116.7,14.4,,0,0,,,1002,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
196902,-,-,0,1969-07-21T20:00:00,1969-07-25T14:00:00,"[{'position': '海南省.万宁市.南桥镇', 'land_time': '1969/7/23 14:00:00', 'lng': 110.236357, 'lat': 18.64115}]",1969-07-22T08:00:00,116.2,15.0,,5,10,,,1002,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
196902,-,-,0,1969-07-21T20:00:00,1969-07-25T14:00:00,"[{'position': '海南省.万宁市.南桥镇', 'land_time': '1969/7/23 14:00:00', 'lng': 110.236357, 'lat': 18.64115}]",1969-07-22T14:00:00,115.3,15.4,,5,10,,,1000,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
196902,-,-,0,1969-07-21T20:00:00,1969-07-25T14:00:00,"[{'position': '海南省.万宁市.南桥镇', 'land_time': '1969/7/23 14:00:00', 'lng': 110.236357, 'lat': 18.64115}]",1969-07-22T20:00:00,114.2,15.7,,5,10,,,999,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
196902,-,-,0,1969-07-21T20:00:00,1969-07-25T14:00:00,"[{'position': '海南省.万宁市.南桥镇', 'land_time': '1969/7/23 14:00:00', 'lng': 110.236357, 'lat': 18.64115}]",1969-07-23T02:00:00,112.7,16.2,,5,10,,,998,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
196902,-,-,0,1969-07-21T20:00:00,1969-07-25T14:00:00,"[{'position': '海南省.万宁市.南桥镇', 'land_time': '1969/7/23 14:00:00', 'lng': 110.236357, 'lat': 18.64115}]",1969-07-23T08:00:00,111.8,17.2,,5,10,,,998,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
196902,-,-,0,1969-07-21T20:00:00,1969-07-25T14:00:00,"[{'position': '海南省.万宁市.南桥镇', 'land_time': '1969/7/23 14:00:00', 'lng': 110.236357, 'lat': 18.64115}]",1969-07-23T14:00:00,111.0,18.4,,5,10,,,998,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
196902,-,-,0,1969-07-21T20:00:00,1969-07-25T14:00:00,"[{'position': '海南省.万宁市.南桥镇', 'land_time': '1969/7/23 14:00:00', 'lng': 110.236357, 'lat': 18.64115}]",1969-07-23T20:00:00,109.1,19.0,,5,9,,,998,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
196902,-,-,0,1969-07-21T20:00:00,1969-07-25T14:00:00,"[{'position': '海南省.万宁市.南桥镇', 'land_time': '1969/7/23 14:00:00', 'lng': 110.236357, 'lat': 18.64115}]",1969-07-24T02:00:00,108.5,19.5,热带低压(TD),6,12,,,998,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
196902,-,-,0,1969-07-21T20:00:00,1969-07-25T14:00:00,"[{'position': '海南省.万宁市.南桥镇', 'land_time': '1969/7/23 14:00:00', 'lng': 110.236357, 'lat': 18.64115}]",1969-07-24T08:00:00,108.3,20.0,热带低压(TD),6,12,,,998,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
196902,-,-,0,1969-07-21T20:00:00,1969-07-25T14:00:00,"[{'position': '海南省.万宁市.南桥镇', 'land_time': '1969/7/23 14:00:00', 'lng': 110.236357, 'lat': 18.64115}]",1969-07-24T14:00:00,108.1,20.5,热带低压(TD),6,12,,,998,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
196902,-,-,0,1969-07-21T20:00:00,1969-07-25T14:00:00,"[{'position': '海南省.万宁市.南桥镇', 'land_time': '1969/7/23 14:00:00', 'lng': 110.236357, 'lat': 18.64115}]",1969-07-24T20:00:00,107.6,21.0,热带低压(TD),6,12,,,998,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
196902,-,-,0,1969-07-21T20:00:00,1969-07-25T14:00:00,"[{'position': '海南省.万宁市.南桥镇', 'land_time': '1969/7/23 14:00:00', 'lng': 110.236357, 'lat': 18.64115}]",1969-07-25T02:00:00,107.1,21.6,热带低压(TD),6,12,,,998,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
196902,-,-,0,1969-07-21T20:00:00,1969-07-25T14:00:00,"[{'position': '海南省.万宁市.南桥镇', 'land_time': '1969/7/23 14:00:00', 'lng': 110.236357, 'lat': 18.64115}]",1969-07-25T08:00:00,106.6,22.0,热带低压(TD),6,12,,,1000,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
196902,-,-,0,1969-07-21T20:00:00,1969-07-25T14:00:00,"[{'position': '海南省.万宁市.南桥镇', 'land_time': '1969/7/23 14:00:00', 'lng': 110.236357, 'lat': 18.64115}]",1969-07-25T14:00:00,105.8,22.1,,5,10,,,1002,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
