tfbh,name,ename,is_current,begin_time,end_time,land,time,lng,lat,strong,power,speed,move_dir,move_speed,pressure,radius7,radius10,radius12,radius7_quad,radius10_quad,radius12_quad,remark,forecast,ident,isCurrent,beginTime,endTime,moveDir,moveSpeed,r7,r10,r12,r7Quad,r10Quad,r12Quad
198401,-,Vernon,0.0,1984-06-08T08:00:00,1984-06-11T08:00:00,[],1984-06-08T08:00:00,113.5,12.0,热带低压(TD),6,12,,,1003,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
198401,-,Vernon,0.0,1984-06-08T08:00:00,1984-06-11T08:00:00,[],1984-06-08T14:00:00,112.9,12.5,热带低压(TD),7,15,,,1002,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
198401,-,Vernon,0.0,1984-06-08T08:00:00,1984-06-11T08:00:00,[],1984-06-08T20:00:00,112.6,13.0,热带低压(TD),7,15,,,1002,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
198401,-,Vernon,0.0,1984-06-08T08:00:00,1984-06-11T08:00:00,[],1984-06-09T02:00:00,112.4,13.5,热带低压(TD),7,15,,,999,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
198401,-,Vernon,0.0,1984-06-08T08:00:00,1984-06-11T08:00:00,[],1984-06-09T08:00:00,112.3,14.0,热带低压(TD),7,15,,,999,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
198401,-,Vernon,0.0,1984-06-08T08:00:00,1984-06-11T08:00:00,[],1984-06-09T14:00:00,112.1,14.3,热带风暴(TS),8,20,,,998,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
198401,-,Vernon,0.0,1984-06-08T08:00:00,1984-06-11T08:00:00,[],1984-06-09T20:00:00,111.9,14.8,热带风暴(TS),8,20,,,994,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
198401,-,Vernon,0.0,1984-06-08T08:00:00,1984-06-11T08:00:00,[],1984-06-10T02:00:00,111.2,15.2,热带风暴(TS),8,20,,,994,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
198401,-,Vernon,0.0,1984-06-08T08:00:00,1984-06-11T08:00:00,[],1984-06-10T08:00:00,109.8,15.5,热带风暴(TS),8,20,,,995,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
198401,-,Vernon,0.0,1984-06-08T08:00:00,1984-06-11T08:00:00,[],1984-06-10T14:00:00,108.9,16.1,热带风暴(TS),8,20,,,996,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
198401,-,Vernon,0.0,1984-06-08T08:00:00,1984-06-11T08:00:00,[],1984-06-10T20:00:00,107.5,17.0,热带风暴(TS),8,20,,,998,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
198401,-,Vernon,0.0,1984-06-08T08:00:00,1984-06-11T08:00:00,[],1984-06-11T02:00:00,106.5,16.7,热带低压(TD),7,15,,,1000,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
198401,-,Vernon,0.0,1984-06-08T08:00:00,1984-06-11T08:00:00,[],1984-06-11T08:00:00,104.5,16.3,热带低压(TD),6,12,,,1000,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
198402,-,Wynne,0.0,1984-06-18T14:00:00,1984-06-26T20:00:00,"[{'position': '广东省.茂名市.电白县.电城', 'land_time': '1984/6/25 19:00:00', 'lng': 111.370586, 'lat': 21.432773}]",1984-06-18T14:00:00,136.0,20.2,,5,10,,,1005,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
198402,-,Wynne,0.0,1984-06-18T14:00:00,1984-06-26T20:00:00,"[{'position': '广东省.茂名市.电白县.电城', 'land_time': '1984/6/25 19:00:00', 'lng': 111.370586, 'lat': 21.432773}]",1984-06-18T20:00:00,134.9,20.3,,5,10,,,1004,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
198402,-,Wynne,0.0,1984-06-18T14:00:00,1984-06-26T20:00:00,"[{'position': '广东省.茂名市.电白县.电城', 'land_time': '1984/6/25 19:00:00', 'lng': 111.370586, 'lat': 21.432773}]",1984-06-19T02:00:00,134.0,20.3,热带低压(TD),7,15,,,1002,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
198402,-,Wynne,0.0,1984-06-18T14:00:00,1984-06-26T20:00:00,"[{'position': '广东省.茂名市.电白县.电城', 'land_time': '1984/6/25 19:00:00', 'lng': 111.370586, 'lat': 21.432773}]",1984-06-19T08:00:00,132.9,20.3,热带低压(TD),7,15,,,1002,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
198402,-,Wynne,0.0,1984-06-18T14:00:00,1984-06-26T20:00:00,"[{'position': '广东省.茂名市.电白县.电城', 'land_time': '1984/6/25 19:00:00', 'lng': 111.370586, 'lat': 21.432773}]",1984-06-19T14:00:00,131.9,20.7,热带低压(TD),7,15,,,1002,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
198402,-,Wynne,0.0,1984-06-18T14:00:00,1984-06-26T20:00:00,"[{'position': '广东省.茂名市.电白县.电城', 'land_time': '1984/6/25 19:00:00', 'lng': 111.370586, 'lat': 21.432773}]",1984-06-19T20:00:00,131.1,21.0,热带低压(TD),7,15,,,1000,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
198402,-,Wynne,0.0,1984-06-18T14:00:00,1984-06-26T20:00:00,"[{'position': '广东省.茂名市.电白县.电城', 'land_time': '1984/6/25 19:00:00', 'lng': 111.370586, 'lat': 21.432773}]",1984-06-20T02:00:00,130.5,21.3,热带风暴(TS),8,20,,,996,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
