tfbh,name,ename,is_current,begin_time,end_time,land,time,lng,lat,strong,power,speed,move_dir,move_speed,pressure,radius7,radius10,radius12,radius7_quad,radius10_quad,radius12_quad,remark,forecast,ident,isCurrent,beginTime,endTime,moveDir,moveSpeed,r7,r10,r12,r7Quad,r10Quad,r12Quad
196801,-,Kim,0.0,1968-05-28T08:00:00,1968-06-10T20:00:00,[],1968-05-28T08:00:00,150.0,10.0,,0,0,,,1008,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
196801,-,Kim,0.0,1968-05-28T08:00:00,1968-06-10T20:00:00,[],1968-05-28T14:00:00,148.8,10.2,,0,0,,,1008,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
196801,-,Kim,0.0,1968-05-28T08:00:00,1968-06-10T20:00:00,[],1968-05-28T20:00:00,147.6,10.4,,0,0,,,1008,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
196801,-,Kim,0.0,1968-05-28T08:00:00,1968-06-10T20:00:00,[],1968-05-29T02:00:00,146.3,10.7,,0,0,,,1008,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
196801,-,Kim,0.0,1968-05-28T08:00:00,1968-06-10T20:00:00,[],1968-05-29T08:00:00,145.0,11.0,,0,0,,,1008,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
196801,-,Kim,0.0,1968-05-28T08:00:00,1968-06-10T20:00:00,[],1968-05-29T14:00:00,144.0,11.2,,0,0,,,1008,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
196801,-,Kim,0.0,1968-05-28T08:00:00,1968-06-10T20:00:00,[],1968-05-29T20:00:00,143.0,11.5,,0,0,,,1008,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
196801,-,Kim,0.0,1968-05-28T08:00:00,1968-06-10T20:00:00,[],1968-05-30T02:00:00,142.0,11.8,,0,0,,,1006,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
196801,-,Kim,0.0,1968-05-28T08:00:00,1968-06-10T20:00:00,[],1968-05-30T08:00:00,141.0,12.1,,0,0,,,1006,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
196801,-,Kim,0.0,1968-05-28T08:00:00,1968-06-10T20:00:00,[],1968-05-30T14:00:00,140.1,12.5,,0,0,,,1006,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
