tfbh,name,ename,is_current,begin_time,end_time,land,time,lng,lat,strong,power,speed,move_dir,move_speed,pressure,radius7,radius10,remark,forecast,radius12,radius7_quad,radius10_quad,radius12_quad
201201,帕卡,PAKHAR,0,2012-03-29T08:00:00,2012-04-02T02:00:00,[],2012-03-29T08:00:00,112.5,9.4,热带风暴(TS),8,18,,2.0,1004,100.0,,,,,,,
201201,帕卡,PAKHAR,0,2012-03-29T08:00:00,2012-04-02T02:00:00,[],2012-03-29T14:00:00,112.4,9.5,热带风暴(TS),8,18,,2.0,1004,100.0,,,,,,,
201201,帕卡,PAKHAR,0,2012-03-29T08:00:00,2012-04-02T02:00:00,[],2012-03-29T20:00:00,111.9,9.7,热带风暴(TS),8,18,西北西,5.0,1002,100.0,,,,,,,
201201,帕卡,PAKHAR,0,2012-03-29T08:00:00,2012-04-02T02:00:00,[],2012-03-30T02:00:00,111.8,9.7,热带风暴(TS),9,23,西北西,3.0,998,100.0,,,,,,,
201201,帕卡,PAKHAR,0,2012-03-29T08:00:00,2012-04-02T02:00:00,[],2012-03-30T08:00:00,111.5,9.7,强热带风暴(STS),10,28,南,2.0,985,200.0,60.0,,,,,,
201201,帕卡,PAKHAR,0,2012-03-29T08:00:00,2012-04-02T02:00:00,[],2012-03-30T14:00:00,111.3,9.7,强热带风暴(STS),10,28,南,2.0,985,200.0,60.0,,,,,,
201201,帕卡,PAKHAR,0,2012-03-29T08:00:00,2012-04-02T02:00:00,[],2012-03-30T20:00:00,111.0,9.8,强热带风暴(STS),10,28,西北西,4.0,985,200.0,60.0,,,,,,
201201,帕卡,PAKHAR,0,2012-03-29T08:00:00,2012-04-02T02:00:00,[],2012-03-31T02:00:00,110.8,9.9,强热带风暴(STS),10,28,西北西,4.0,985,200.0,60.0,,,,,,
201201,帕卡,PAKHAR,0,2012-03-29T08:00:00,2012-04-02T02:00:00,[],2012-03-31T08:00:00,110.2,9.7,强热带风暴(STS),10,25,西,5.0,990,180.0,,,,,,,
201201,帕卡,PAKHAR,0,2012-03-29T08:00:00,2012-04-02T02:00:00,[],2012-03-31T14:00:00,109.7,9.7,强热带风暴(STS),10,25,西北西,10.0,990,180.0,,,,,,,
201201,帕卡,PAKHAR,0,2012-03-29T08:00:00,2012-04-02T02:00:00,[],2012-03-31T20:00:00,109.4,9.7,强热带风暴(STS),10,25,西北西,9.0,990,180.0,,,,,,,
201201,帕卡,PAKHAR,0,2012-03-29T08:00:00,2012-04-02T02:00:00,[],2012-04-01T02:00:00,109.1,9.7,热带风暴(TS),9,23,西北西,10.0,992,180.0,,,,,,,
201201,帕卡,PAKHAR,0,2012-03-29T08:00:00,2012-04-02T02:00:00,[],2012-04-01T08:00:00,108.6,9.8,热带风暴(TS),9,23,西北西,10.0,992,180.0,,,,,,,
201201,帕卡,PAKHAR,0,2012-03-29T08:00:00,2012-04-02T02:00:00,[],2012-04-01T14:00:00,107.9,10.1,热带风暴(TS),9,23,西北西,20.0,995,150.0,,,,,,,
201201,帕卡,PAKHAR,0,2012-03-29T08:00:00,2012-04-02T02:00:00,[],2012-04-01T20:00:00,107.2,10.7,热带风暴(TS),8,18,西北,15.0,1000,100.0,,,,,,,
201201,帕卡,PAKHAR,0,2012-03-29T08:00:00,2012-04-02T02:00:00,[],2012-04-02T02:00:00,107.0,10.9,热带风暴(TS),8,18,西北,8.0,1000,80.0,,,,,,,
201202,珊瑚,Sanvu,0,2012-05-22T08:00:00,2012-05-27T02:00:00,[],2012-05-22T08:00:00,144.1,13.5,热带风暴(TS),8,18,西西北,17.0,1000,150.0,,,,,,,
201202,珊瑚,Sanvu,0,2012-05-22T08:00:00,2012-05-27T02:00:00,[],2012-05-22T14:00:00,143.3,13.9,热带风暴(TS),8,18,西西北,18.0,1000,150.0,,,,,,,
201202,珊瑚,Sanvu,0,2012-05-22T08:00:00,2012-05-27T02:00:00,[],2012-05-22T20:00:00,142.5,14.5,热带风暴(TS),8,20,北西,15.0,998,150.0,,,,,,,
201202,珊瑚,Sanvu,0,2012-05-22T08:00:00,2012-05-27T02:00:00,[],2012-05-23T02:00:00,141.7,15.5,热带风暴(TS),9,23,北北西,20.0,992,150.0,,,,,,,
201202,珊瑚,Sanvu,0,2012-05-22T08:00:00,2012-05-27T02:00:00,[],2012-05-23T08:00:00,141.0,16.1,热带风暴(TS),8,20,北北西,15.0,996,150.0,,,,,,,
201202,珊瑚,Sanvu,0,2012-05-22T08:00:00,2012-05-27T02:00:00,[],2012-05-23T14:00:00,140.4,16.8,热带风暴(TS),9,23,西北,15.0,992,180.0,,,,,,,
201202,珊瑚,Sanvu,0,2012-05-22T08:00:00,2012-05-27T02:00:00,[],2012-05-23T20:00:00,139.8,17.2,强热带风暴(STS),10,25,西北,15.0,988,200.0,40.0,,,,,,
201202,珊瑚,Sanvu,0,2012-05-22T08:00:00,2012-05-27T02:00:00,[],2012-05-24T02:00:00,139.7,17.9,强热带风暴(STS),10,25,北西北,15.0,988,200.0,40.0,,,,,,
201202,珊瑚,Sanvu,0,2012-05-22T08:00:00,2012-05-27T02:00:00,[],2012-05-24T08:00:00,139.4,19.0,强热带风暴(STS),10,25,北西北,15.0,988,200.0,40.0,,,,,,
201202,珊瑚,Sanvu,0,2012-05-22T08:00:00,2012-05-27T02:00:00,[],2012-05-24T14:00:00,139.2,19.7,强热带风暴(STS),11,30,北西北,13.0,980,220.0,60.0,,,,,,
201202,珊瑚,Sanvu,0,2012-05-22T08:00:00,2012-05-27T02:00:00,[],2012-05-24T20:00:00,138.8,20.6,台风(TY),12,33,北北东,13.0,975,260.0,80.0,,,,,,
201202,珊瑚,Sanvu,0,2012-05-22T08:00:00,2012-05-27T02:00:00,[],2012-05-25T02:00:00,139.0,21.6,台风(TY),12,33,北北东,13.0,975,260.0,80.0,,,,,,
201202,珊瑚,Sanvu,0,2012-05-22T08:00:00,2012-05-27T02:00:00,[],2012-05-25T08:00:00,139.2,22.3,台风(TY),12,35,北北东,15.0,970,260.0,100.0,,,,,,
201202,珊瑚,Sanvu,0,2012-05-22T08:00:00,2012-05-27T02:00:00,[],2012-05-25T14:00:00,139.5,23.1,台风(TY),12,35,东北,15.0,970,260.0,100.0,,,,,,
201202,珊瑚,Sanvu,0,2012-05-22T08:00:00,2012-05-27T02:00:00,[],2012-05-25T20:00:00,140.0,23.8,台风(TY),12,35,东北,20.0,970,260.0,100.0,,,,,,
201202,珊瑚,Sanvu,0,2012-05-22T08:00:00,2012-05-27T02:00:00,[],2012-05-26T02:00:00,140.5,24.1,台风(TY),12,35,东北,15.0,970,260.0,100.0,,,,,,
201202,珊瑚,Sanvu,0,2012-05-22T08:00:00,2012-05-27T02:00:00,[],2012-05-26T08:00:00,141.3,24.6,台风(TY),12,33,东北,18.0,975,230.0,100.0,,,,,,
201202,珊瑚,Sanvu,0,2012-05-22T08:00:00,2012-05-27T02:00:00,[],2012-05-26T14:00:00,142.0,24.9,台风(TY),12,33,东北,20.0,975,230.0,100.0,,,,,,
